Bahia Falsa,,,,Carpinteria Salt March,,,,Estero de Punta Banda,,,,Flensburg Fjord,,,,Otago Harbor,,,,Sylt Tidal Basin,,,,Ythan Estuary,,,,
ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,
1,1,carrion-detritus,,1,1,carrion-detritus,,1,1,carrion-detritus,,1,1,detritus/poc/doc,,1,1,phytoplankton,,1,1,detritus/poc/doc,,1,2,Cryptocotyle lingua,,
2,1,marine-detritus,,2,1,marine-detritus,,2,1,marine-detritus,,2,1,carrion,,2,1,benthic-diatoms,,2,1,carrion,,2,2,Himasthla elongata,,
3,1,terrestrial-detritus,,3,1,terrestrial-detritus,,3,1,terrestrial-detritus,,3,1,phytoplankton,,3,1,macroalgae,,3,1,phytoplankton,,3,2,Renicola roscorita,,
4,1,Saltwort,,4,1,Salt Grass,,4,1,Saltwort,,4,1,benthic diatoms/epiphyts,,4,1,zooplankton,,4,1,benthic diatoms/epiphyts,,4,2,Cercariae lebouri,,
5,1,epipellic flora,,5,1,epipellic flora,,5,1,epipellic flora,,5,1,macroalgae,,5,1,meiofauna,,5,1,macroalgae,,5,2,Podocotyle staffordi,,
6,1,Alkali Heath,,6,1,Alkali Heath,,6,1,Alkali Heath,,6,1,seagrass,,6,1,bacteria,,6,1,seagrass,,6,2,Cryptocotyle jejuna,,
7,1,Fleshy Jaumea,,7,1,Fleshy Jaumea,,7,1,Fleshy Jaumea,,7,1,zooplankton (including larvae),,7,1,Anthopleura,,7,1,zooplankton (including larvae),,7,2,Himasthla continua,,
8,1,macroalgae,,8,1,California Sea Lavender,,8,1,California Sea Lavender,,8,1,meiofauna,,8,1,Edwardsia sp.,,8,1,meiofauna,,8,2,Maritrema oocysta,,
9,1,Shore Grass,,9,1,macroalgae,,9,1,macroalgae,,9,1,bacteria (sediment & free-living),,9,1,Enopla 1,,9,1,bacteria (sediment & free-living),,9,2,Maritrema subdolum,,
10,1,phytoplankton,,10,1,Shore Grass,,10,1,Shore Grass,,10,1,Turbellaria,,10,1,Enopla 2,,10,1,Hydractinia echinata,,10,2,Levinseniella sp.,,
11,1,Annual Pickleweed,,11,1,phytoplankton,,11,1,phytoplankton,,11,1,nematodes,,11,1,Abarenicola affinis,,11,1,Metridium senile,,11,2,Microphallid ,,
12,1,Parish's Pickleweed,,12,1,Pickleweed,,12,1,Annual Pickleweed,,12,1,Hediste diversicolor,,12,1,Capitellidae 1,,12,1,Sagartia troglodytes,,12,2,Notocotyledae ,,
13,1,Pickleweed,,13,1,foraminiferan,,13,1,Pickleweed,,13,1,Spionidae,,13,1,Capitellidae 2,,13,1,Sagartiogeton undatum,,13,2,Himasthla interrupta,,
14,1,California Cordgrass,,14,1,Capitella capitata,,14,1,California Cordgrass,,14,1,"Oligochaeta, Tubificidae",,14,1,Heteromastus filiformis,,14,1,Obelia (Laomedea) longissima,,14,2,Profilicollis botulus,,
15,1,Sueda,,15,1,oligochaete,,15,1,foraminiferan,,15,1,Mytilus edulis,,15,1,Decamastus sp.,,15,1,Alcyonidium mytili,,15,2,Amidostomum sp.,,
16,1,Arrowgrass,,16,1,Polydora nuchalis,,16,1,annelid,,16,1,Cerastoderma edule,,16,1,Paraonis sp.,,16,1,Electra pilosa,,16,2,Haploparaksis crassirostris,,
17,1,Eelgrass,,17,1,leech(glossiphonid),,17,1,annelid red,,17,1,Mya arenaria,,17,1,Scoloplos johnstonei,,17,1,Lineus viridis,,17,2,Ophryocotyle insignis,,
18,1,foraminiferan,,18,1,Carinoma mutabilis,,18,1,capitellid?,,18,1,Macoma balthica,,18,1,Macroclymenella stewartensis,,18,1,Amphiporus lactifloreus,,18,2,Psilostomum brevicolle,,
19,1,annelid unknown (green saccate thin skin),,19,1,nemertean,,19,1,cirratulid,,19,1,Hydrobia ventrosa,,19,1,Hesionidae 1 ,,19,1,Tetrastemma melanocephalum,,19,2,Catatropis terrucosa,,
20,1,Capitella capitata,,20,1,California Softshell Clam,,20,1,cirratulid?,,20,1,H. neglecta,,20,1,Exogone sp. 1,,20,1,Tubificoides benedeni,,20,2,Parvatrema affine,,
21,1,capitellid?,,21,1,Bent-nosed Clam,,21,1,Cirriformia spirabrancha,,21,1,H. ulvae,,21,1,Exogone sp. 2 ,,21,1,Tubificoides pseudogaster,,21,2,Apophallus lerouxi,,
22,1,Cirriformia spirabrancha,,22,1,White Sand Macoma,,22,1,ctenodrilid,,22,1,Potamopyrgus jenkinsi,,22,1,Perinereis nuntia,,22,1,Ampharete acutifrons,,22,2,Levinseniella brachysoma,,
23,1,"Neanthes ""arenaceodentata""",,23,1,Blue Mussel,,23,1,errant annelid,,23,1,Littorina saxatilis,,23,1,Sphaerodorum sp.,,23,1,Arenicola marina,,23,2,Maritrema humile,,
24,1,oligochaete,,24,1,California Mahogany Clam,,24,1,errant large annelid,,24,1,L. obtusata,,24,1,Spio sp.1,,24,1,Capitella capitata,,24,2,Maritrema gratiosum,,
25,1,brown hesionid,,25,1,Pacific Littleneck Clam,,25,1,Neanthes,,25,1,Turboella inconspicua,,25,1,Spio sp. 2,,25,1,Harmothoe sarsi,,25,2,Hemiuris communis,,
26,1,poly unk (brwn setae ant third),,26,1,Butter Clam,,26,1,oligochaete,,26,1,Rissoa membranacea,,26,1,Boccardia syrtis,,26,1,Harmothoe imbricata,,26,2,Lecithaster gibbosus,,
27,1,"orbiniid, pointed prostomium",,27,1,Fat Jackknife Clam,,27,1,spionid,,27,1,Balanus improvisus,,27,1,Boccardia acus,,27,1,Heteromastus filiformis,,27,2,Derogenes varicus,,
28,1,Naineris,,28,1,California Jackknife Clam,,28,1,spionid?,,28,1,Cladocera,,28,1,Malacoceros sp.,,28,1,Lanice conchilega,,28,2,Opacelididii ,,
29,1,poly unk B (4 prost. tents),,29,1,Lesser Tagelus,,29,1,leech(glossiphonid),,29,1,Acartia bifilosa,,29,1,Prinospio sp. 1,,29,1,Lepidonotus squamatus,,29,2,Tetraphyllidean larvae,,
30,1,poly unk B (lg green),,30,1,Acteocina inculta,,30,1,anthozoan,,30,1,A. tonsa,,30,1,Colurostylis lemurum,,30,1,Magelona mirabilis,,30,2,Cestode ,,
31,1,"poly unk(""fuzzy dorsum"")",,31,1,California Assiminea,,31,1,brown cucumber,,31,1,A. discaudata,,31,1,Diastylopsis thileniusi,,31,1,Malacoceros sp.,,31,2,Lacunovermis macomae,,
32,1,Polydora sp.,,32,1,California Horn Snail,,32,1,cucumber,,32,1,Centropages hamatus,,32,1,Tanaisus sp.,,32,1,Nephtys hombergii,,32,2,Hysterothylacium aduncum,,
33,1,spionid,,33,1,Salt Marsh Snail,,33,1,nemertean,,33,1,Pseudocalanus elongatus,,33,1,Heterophoxus stephenseni,,33,1,Nereis (Hediste) diversicolor,,33,2,Cucullanus heterochrous,,
34,1,leech(glossiphonid),,34,1,Black Salt Marsh Mosquito,,34,1,phoronid,,34,1,Temora longicornis,,34,1,Phoxocephalus regium,,34,1,Nereis virens,,34,2,Anisakis sp.,,
35,1,anthozoan,,35,1,Argulus,,35,1,turbellarian,,35,1,Oithona atlantica,,35,1,Pontharpinia australis,,35,1,Phyllodoce (Anaitides) mucosa,,35,2,Zoogonoides viviparus,,
36,1,nemertean,,36,1,corophiid?,,36,1,white cucumber,,36,1,O. similis,,36,1,Amphipoda 1,,36,1,Eteone longa,,36,2,Spiruoid larvae ,,
