"","NodeID","extinction_mean","extinction_sd","extinction_lower95","extinction_upper95","web"
"1","1",0.47688,0.499467676912176,0,1,"aggregated_wo_parasites"
"3","3",0.37454,0.484006333658331,0,1,"aggregated_wo_parasites"
"4","4",0.321579999999995,0.46708509426572,0,1,"aggregated_wo_parasites"
"5","5",0.40419,0.490737049883494,0,1,"aggregated_wo_parasites"
"7","7",0.309900000000001,0.462454461154248,0,1,"aggregated_wo_parasites"
"8","8",0.307480000000001,0.461452249947553,0,1,"aggregated_wo_parasites"
"9","9",0.309490000000001,0.462285709254585,0,1,"aggregated_wo_parasites"
"10","10",0.307339999999999,0.461393815782722,0,1,"aggregated_wo_parasites"
"11","11",0.26728,0.442541930254304,0,1,"aggregated_wo_parasites"
"13","13",0.404090000000003,0.49071751541696,0,1,"aggregated_wo_parasites"
"15","15",0.378319999999999,0.484970441948218,0,1,"aggregated_wo_parasites"
"18","18",0.330400000000002,0.470359492707954,0,1,"aggregated_wo_parasites"
"19","19",0.40598,0.491083140849956,0,1,"aggregated_wo_parasites"
"20","20",0.319579999999999,0.466316199705664,0,1,"aggregated_wo_parasites"
"21","21",0.322579999999999,0.467465858478671,0,1,"aggregated_wo_parasites"
"22","22",0.3142,0.464198788026419,0,1,"aggregated_wo_parasites"
"26","26",0.320800000000001,0.466786395362364,0,1,"aggregated_wo_parasites"
"27","27",0.412569999999999,0.492299115055034,0,1,"aggregated_wo_parasites"
"28","28",0.347860000000002,0.476293700312328,0,1,"aggregated_wo_parasites"
"29","29",0.29432,0.45573875694092,0,1,"aggregated_wo_parasites"
"30","30",0.368199999999999,0.482318449067347,0,1,"aggregated_wo_parasites"
"32","32",0.362439999999999,0.480707350885699,0,1,"aggregated_wo_parasites"
"34","34",0.201340000000001,0.401003506765213,0,1,"aggregated_wo_parasites"
"35","35",0.402480000000001,0.490400096372672,0,1,"aggregated_wo_parasites"
"36","36",0.390099999999999,0.487774916579131,0,1,"aggregated_wo_parasites"
"37","37",0.389950000000001,0.487741095678506,0,1,"aggregated_wo_parasites"
"39","39",0.29449,0.455815442451245,0,1,"aggregated_wo_parasites"
"40","40",0.362069999999999,0.480601315932891,0,1,"aggregated_wo_parasites"
"41","41",0.385,0.48659774739934,0,1,"aggregated_wo_parasites"
"44","44",0.368739999999999,0.482465688035092,0,1,"aggregated_wo_parasites"
"47","47",0.395999999999999,0.4890668582759,0,1,"aggregated_wo_parasites"
"49","49",0.356860000000001,0.479075396500526,0,1,"aggregated_wo_parasites"
"50","50",0.353339999999998,0.4780095494143,0,1,"aggregated_wo_parasites"
"51","51",0.353590000000002,0.478086182151149,0,1,"aggregated_wo_parasites"
"52","52",0.354850000000001,0.478470236104096,0,1,"aggregated_wo_parasites"
"53","53",0.40623,0.491130938951957,0,1,"aggregated_wo_parasites"
"54","54",0.323699999999999,0.467889409161037,0,1,"aggregated_wo_parasites"
"55","55",0.33099,0.470571816281222,0,1,"aggregated_wo_parasites"
"56","56",0.20028,0.400211848020044,0,1,"aggregated_wo_parasites"
"57","57",0.35232,0.477695404550593,0,1,"aggregated_wo_parasites"
"59","59",0.334250000000002,0.471729968087051,0,1,"aggregated_wo_parasites"
"60","60",0.402930000000001,0.490489368792092,0,1,"aggregated_wo_parasites"
"62","62",0.352259999999999,0.477676851178789,0,1,"aggregated_wo_parasites"
"63","63",0.36794,0.482247324538355,0,1,"aggregated_wo_parasites"
"64","64",0.351150000000001,0.477332123327064,0,1,"aggregated_wo_parasites"
"65","65",0.387260000000001,0.487126334045912,0,1,"aggregated_wo_parasites"
"66","66",0.1989,0.399174627705561,0,1,"aggregated_wo_parasites"
"67","67",0.280499999999998,0.449245777072824,0,1,"aggregated_wo_parasites"
"68","68",0.364929999999999,0.48141293364823,0,1,"aggregated_wo_parasites"
"69","69",0.412269999999996,0.492245741636071,0,1,"aggregated_wo_parasites"
"70","70",0.302749999999998,0.459450267652109,0,1,"aggregated_wo_parasites"
"73","73",0.404209999999995,0.490740954238069,0,1,"aggregated_wo_parasites"
"77","77",0.322039999999999,0.467260550147773,0,1,"aggregated_wo_parasites"
"78","78",0.386389999999997,0.486924161293262,0,1,"aggregated_wo_parasites"
"80","80",0.199909999999999,0.399934483854204,0,1,"aggregated_wo_parasites"
"81","81",0.20194,0.401449683046814,0,1,"aggregated_wo_parasites"
"82","82",0.469609999999999,0.499078088768608,0,1,"aggregated_wo_parasites"
"83","83",0.201590000000001,0.401189582904285,0,1,"aggregated_wo_parasites"
"85","85",0.329290000000001,0.469957768850864,0,1,"aggregated_wo_parasites"
"89","89",0.352060000000001,0.477614946960748,0,1,"aggregated_wo_parasites"
"91","91",0.406379999999999,0.491159554500435,0,1,"aggregated_wo_parasites"
"93","93",0.35378,0.478144327395235,0,1,"aggregated_wo_parasites"
"94","94",0.355430000000001,0.478645804450726,0,1,"aggregated_wo_parasites"
"95","95",0.20053,0.400398953910947,0,1,"aggregated_wo_parasites"
"96","96",0.413269999999999,0.492422919758265,0,1,"aggregated_wo_parasites"
"98","98",0.342639999999999,0.474594651045186,0,1,"aggregated_wo_parasites"
"99","99",0.385389999999999,0.48668975391831,0,1,"aggregated_wo_parasites"
"100","100",0.4078,0.491428097503077,0,1,"aggregated_wo_parasites"
"101","101",0.19875,0.399061436373301,0,1,"aggregated_wo_parasites"
"102","102",0.19887,0.399151996516752,0,1,"aggregated_wo_parasites"
"103","103",0.159969999999999,0.366580063436491,0,1,"aggregated_wo_parasites"
"104","104",0.202109999999999,0.401575846548771,0,1,"aggregated_wo_parasites"
"105","105",0.20095,0.400712744003502,0,1,"aggregated_wo_parasites"
"107","107",0.16273,0.369120995885207,0,1,"aggregated_wo_parasites"
"108","108",0.199400000000002,0.39955129384381,0,1,"aggregated_wo_parasites"
"109","109",0.200060000000002,0.400046993209233,0,1,"aggregated_wo_parasites"
"110","110",0.19914,0.399355549915973,0,1,"aggregated_wo_parasites"
"111","111",0.19934,0.399506145699173,0,1,"aggregated_wo_parasites"
"112","112",0.200060000000001,0.400046993209234,0,1,"aggregated_wo_parasites"
"114","114",0.20083,0.400623159701827,0,1,"aggregated_wo_parasites"
"115","115",0.19994,0.399956992757837,0,1,"aggregated_wo_parasites"
"116","116",0.19711,0.397818087185685,0,1,"aggregated_wo_parasites"
"117","117",0.197669999999999,0.398243841234809,0,1,"aggregated_wo_parasites"
"118","118",0.197700000000001,0.398266614421801,0,1,"aggregated_wo_parasites"
"119","119",0.199659999999999,0.39974677281385,0,1,"aggregated_wo_parasites"
"120","120",0.19996,0.399971996739574,0,1,"aggregated_wo_parasites"
"121","121",0.198789999999999,0.399091629379889,0,1,"aggregated_wo_parasites"
"122","122",0.1992,0.399400745129257,0,1,"aggregated_wo_parasites"
