"","NodeID","extinction_mean","extinction_sd","extinction_lower95","extinction_upper95","web"
"1","1",0.745569999999999,0.435542503176086,0,1,"life_stage_wo_parasites"
"2","2",0.747130000000001,0.434659237088786,0,1,"life_stage_wo_parasites"
"3","3",0.748740000000001,0.433739891758862,0,1,"life_stage_wo_parasites"
"11","11",0.684300000000002,0.46479637515439,0,1,"life_stage_wo_parasites"
"12","12",0.681750000000003,0.465799428071022,0,1,"life_stage_wo_parasites"
"13","13",0.683640000000002,0.465057537499567,0,1,"life_stage_wo_parasites"
"14","14",0.5443,0.498036133628587,0,1,"life_stage_wo_parasites"
"15","15",0.544940000000002,0.497978790942261,0,1,"life_stage_wo_parasites"
"16","16",0.543810000000003,0.498079476320464,0,1,"life_stage_wo_parasites"
"17","17",0.71311,0.452312031413718,0,1,"life_stage_wo_parasites"
"18","18",0.714949999999999,0.451440511568508,0,1,"life_stage_wo_parasites"
"19","19",0.71335,0.452198874764092,0,1,"life_stage_wo_parasites"
"20","20",0.700030000000001,0.458246766492563,0,1,"life_stage_wo_parasites"
"21","21",0.698240000000001,0.459023974787654,0,1,"life_stage_wo_parasites"
"22","22",0.15972,0.36634800901379,0,1,"life_stage_wo_parasites"
"23","23",0.398249999999999,0.48953992073526,0,1,"life_stage_wo_parasites"
"24","24",0.39736,0.48935408966752,0,1,"life_stage_wo_parasites"
"25","25",0.39873,0.48963944343543,0,1,"life_stage_wo_parasites"
"26","26",0.39834,0.489558618631241,0,1,"life_stage_wo_parasites"
"27","27",0.39518,0.488891764863467,0,1,"life_stage_wo_parasites"
"28","28",0.39839,0.489568998894026,0,1,"life_stage_wo_parasites"
"29","29",0.39642,0.489155983645378,0,1,"life_stage_wo_parasites"
"30","30",0.396440000000001,0.489160218310255,0,1,"life_stage_wo_parasites"
"31","31",0.39592,0.489049839277565,0,1,"life_stage_wo_parasites"
"32","32",0.394479999999999,0.48874115672752,0,1,"life_stage_wo_parasites"
"33","33",0.39973,0.489845206757434,0,1,"life_stage_wo_parasites"
"34","34",0.395230000000001,0.488902482460998,0,1,"life_stage_wo_parasites"
"35","35",0.399880000000001,0.489875887734462,0,1,"life_stage_wo_parasites"
"36","36",0.39985,0.489869755367669,0,1,"life_stage_wo_parasites"
"37","37",0.401220000000001,0.490147849172774,0,1,"life_stage_wo_parasites"
"40","40",0.71551,0.451173442785213,0,1,"life_stage_wo_parasites"
"41","41",0.717,0.450458687484194,0,1,"life_stage_wo_parasites"
"42","42",0.717769999999999,0.450086939249125,0,1,"life_stage_wo_parasites"
"43","43",0.68516,0.464454445106532,0,1,"life_stage_wo_parasites"
"44","44",0.46696,0.498909658664517,0,1,"life_stage_wo_parasites"
"45","45",0.469129999999999,0.499048628487442,0,1,"life_stage_wo_parasites"
"46","46",0.467249999999999,0.498928779285347,0,1,"life_stage_wo_parasites"
"52","52",0.564540000000003,0.495819570781907,0,1,"life_stage_wo_parasites"
"53","53",0.562529999999997,0.496077070649774,0,1,"life_stage_wo_parasites"
"54","54",0.561210000000003,0.496241673439826,0,1,"life_stage_wo_parasites"
"55","55",0.646629999999999,0.478018752894832,0,1,"life_stage_wo_parasites"
"56","56",0.650389999999999,0.476849160376068,0,1,"life_stage_wo_parasites"
"57","57",0.645730000000002,0.478293899972532,0,1,"life_stage_wo_parasites"
"58","58",0.554690000000001,0.497002488942244,0,1,"life_stage_wo_parasites"
"59","59",0.556429999999999,0.496807933995929,0,1,"life_stage_wo_parasites"
"60","60",0.556210000000001,0.496832873639529,0,1,"life_stage_wo_parasites"
"61","61",0.54216,0.498221854850138,0,1,"life_stage_wo_parasites"
"62","62",0.54192,0.498242105860102,0,1,"life_stage_wo_parasites"
"63","63",0.539849999999999,0.498411939709182,0,1,"life_stage_wo_parasites"
"64","64",0.54399,0.498063610970766,0,1,"life_stage_wo_parasites"
"65","65",0.546370000000002,0.497847669095062,0,1,"life_stage_wo_parasites"
"66","66",0.548200000000002,0.497673825705487,0,1,"life_stage_wo_parasites"
"77","77",0.572130000000004,0.494772383118984,0,1,"life_stage_wo_parasites"
"78","78",0.572570000000001,0.494708037594201,0,1,"life_stage_wo_parasites"
"79","79",0.571509999999999,0.494862373582066,0,1,"life_stage_wo_parasites"
"80","80",0.65328,0.475928047792464,0,1,"life_stage_wo_parasites"
"81","81",0.65504,0.475357610698432,0,1,"life_stage_wo_parasites"
"82","82",0.653690000000001,0.475795804643648,0,1,"life_stage_wo_parasites"
"83","83",0.517679999999996,0.499689818286494,0,1,"life_stage_wo_parasites"
"84","84",0.519439999999999,0.499624441601404,0,1,"life_stage_wo_parasites"
"85","85",0.522389999999999,0.499500933844421,0,1,"life_stage_wo_parasites"
"86","86",0.29589,0.456444072490812,0,1,"life_stage_wo_parasites"
"87","87",0.296110000000001,0.456542388184864,0,1,"life_stage_wo_parasites"
"88","88",0.293940000000002,0.455567066208204,0,1,"life_stage_wo_parasites"
"89","89",0.463630000000004,0.498677962112623,0,1,"life_stage_wo_parasites"
"90","90",0.46249,0.498593507633898,0,1,"life_stage_wo_parasites"
"91","91",0.461159999999997,0.498491664262791,0,1,"life_stage_wo_parasites"
"99","99",0.6231,0.484611946290609,0,1,"life_stage_wo_parasites"
"100","100",0.619700000000001,0.485462940648513,0,1,"life_stage_wo_parasites"
"101","101",0.619830000000002,0.48543086792159,0,1,"life_stage_wo_parasites"
"102","102",0.699130000000002,0.458638579486352,0,1,"life_stage_wo_parasites"
"103","103",0.69853,0.458898621679755,0,1,"life_stage_wo_parasites"
"104","104",0.15966,0.366292268687876,0,1,"life_stage_wo_parasites"
"105","105",0.36043,0.480127608376375,0,1,"life_stage_wo_parasites"
"106","106",0.359850000000004,0.479958624365347,0,1,"life_stage_wo_parasites"
"107","107",0.36038,0.480113070730001,0,1,"life_stage_wo_parasites"
"108","108",0.71508,0.451378589463369,0,1,"life_stage_wo_parasites"
"109","109",0.71646,0.450718426371459,0,1,"life_stage_wo_parasites"
"110","110",0.71557,0.451144777666693,0,1,"life_stage_wo_parasites"
"111","111",0.708909999999999,0.454267185130674,0,1,"life_stage_wo_parasites"
"112","112",0.70704,0.455122521707417,0,1,"life_stage_wo_parasites"
"113","113",0.705709999999999,0.45572521628154,0,1,"life_stage_wo_parasites"
"114","114",0.710429999999999,0.453565069546663,0,1,"life_stage_wo_parasites"
"115","115",0.70893,0.454257986835189,0,1,"life_stage_wo_parasites"
"116","116",0.70684,0.455213451682785,0,1,"life_stage_wo_parasites"
"124","124",0.457390000000001,0.498183570352331,0,1,"life_stage_wo_parasites"
"125","125",0.455220000000002,0.497993204343279,0,1,"life_stage_wo_parasites"
"126","126",0.453950000000001,0.497877370763876,0,1,"life_stage_wo_parasites"
"127","127",0.474519999999998,0.499352844322245,0,1,"life_stage_wo_parasites"
"128","128",0.4716,0.499195284392085,0,1,"life_stage_wo_parasites"
"129","129",0.47351,0.49930028330402,0,1,"life_stage_wo_parasites"
"130","130",0.659280000000001,0.473953719176839,0,1,"life_stage_wo_parasites"
"131","131",0.660900000000001,0.47340620098869,0,1,"life_stage_wo_parasites"
"132","132",0.659680000000001,0.473819103293304,0,1,"life_stage_wo_parasites"
"140","140",0.55593,0.496864472309397,0,1,"life_stage_wo_parasites"
"141","141",0.553789999999999,0.497100701056461,0,1,"life_stage_wo_parasites"
"142","142",0.558659999999999,0.496549564509743,0,1,"life_stage_wo_parasites"
"143","143",0.81817,0.385706285654255,0,1,"life_stage_wo_parasites"
"144","144",0.818040000000001,0.385813487219224,0,1,"life_stage_wo_parasites"
"152","152",0.639120000000001,0.480258193140857,0,1,"life_stage_wo_parasites"
"153","153",0.639630000000002,0.480110162522592,0,1,"life_stage_wo_parasites"
"154","154",0.639260000000002,0.480217615763752,0,1,"life_stage_wo_parasites"
"160","160",0.617,0.48612072896945,0,1,"life_stage_wo_parasites"
"161","161",0.618140000000001,0.485844934987662,0,1,"life_stage_wo_parasites"
"162","162",0.618119999999997,0.485849797880347,0,1,"life_stage_wo_parasites"
"163","163",0.614749999999999,0.486656763898341,0,1,"life_stage_wo_parasites"
"164","164",0.615639999999999,0.486446047056666,0,1,"life_stage_wo_parasites"
"165","165",0.61616,0.486322135515113,0,1,"life_stage_wo_parasites"
"166","166",0.614719999999998,0.486663836767107,0,1,"life_stage_wo_parasites"
"167","167",0.613780000000001,0.486884464904172,0,1,"life_stage_wo_parasites"
"168","168",0.617260000000002,0.486058077728227,0,1,"life_stage_wo_parasites"
"169","169",0.61467,0.486675620543622,0,1,"life_stage_wo_parasites"
"170","170",0.61197,0.48730390286839,0,1,"life_stage_wo_parasites"
"171","171",0.616599999999999,0.486216828244393,0,1,"life_stage_wo_parasites"
"172","172",0.67927,0.466759515965763,0,1,"life_stage_wo_parasites"
"173","173",0.676930000000001,0.467651539160848,0,1,"life_stage_wo_parasites"
"174","174",0.679219999999999,0.466778716764055,0,1,"life_stage_wo_parasites"
"175","175",0.568850000000001,0.495239467451144,0,1,"life_stage_wo_parasites"
"176","176",0.568900000000001,0.495232513625784,0,1,"life_stage_wo_parasites"
"177","177",0.567330000000001,0.495448408808836,0,1,"life_stage_wo_parasites"
"178","178",0.593949999999999,0.491096537615304,0,1,"life_stage_wo_parasites"
"179","179",0.593979999999999,0.491090797410609,0,1,"life_stage_wo_parasites"
"180","180",0.595949999999999,0.490709695706047,0,1,"life_stage_wo_parasites"
"181","181",0.199180000000001,0.399385681627425,0,1,"life_stage_wo_parasites"
"182","182",0.198789999999999,0.39909162937989,0,1,"life_stage_wo_parasites"
"184","184",0.19926,0.399445926215987,0,1,"life_stage_wo_parasites"
"185","185",0.468210000000001,0.498990867470664,0,1,"life_stage_wo_parasites"
"186","186",0.198090000000001,0.398562341948606,0,1,"life_stage_wo_parasites"
"193","193",0.584129999999999,0.492873789469197,0,1,"life_stage_wo_parasites"
"194","194",0.58259,0.493134184287637,0,1,"life_stage_wo_parasites"
"195","195",0.583019999999999,0.493061974503176,0,1,"life_stage_wo_parasites"
"196","196",0.717940000000001,0.450004646022228,0,1,"life_stage_wo_parasites"
