,taxon,kingdom,phylum,class,order,family,genus
1,Limosa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa
2,Recurvirostra,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra
3,Catoptrophorus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Catoptrophorus
4,Pluvialis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis
5,Tringa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa
6,Polydora,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora
7,Bucephala,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala
8,Limnodromus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus
9,Calidris,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
10,Charadrius,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius
11,Actitis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis
12,Ardea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea
13,Phalacrocorax,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
14,Gillichthys,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Gillichthys
15,Procyon,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon
16,Pachygrapsus,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus
17,Triakis,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis
18,Aechmophorus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus
19,Mergus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus
20,Egretta,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
21,Nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax
22,Numenius,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius
23,Sterna,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna
24,Larus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus
25,Urolophus,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Urolophus
26,Podilymbus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus
27,Melanitta,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta
28,Butorides,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides
29,Hemigrapsus,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus
30,Corvus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
31,Ceryle,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceryle
32,Fundulus,Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus
33,Paralichthys,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys
34,Fulica,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica
35,Clevelandia,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Clevelandia
36,Leptocottus,Animalia,Chordata,Teleostei,Scorpaeniformes,Cottidae,Leptocottus
37,Acanthogobius,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Acanthogobius
38,Hypsopsetta,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hypsopsetta
39,Accipiter,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
40,Pardosa,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa
41,Carinoma,Animalia,Nemertea,Palaeonemertea,NA,Carinomidae,Carinoma
42,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Maritrema
43,Acanthoparyphium,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Acanthoparyphium
44,Renicola,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Renicolidae,Renicola
45,Spirocamallanus,Animalia,Nematoda,Chromadorea,Camallanida,Camallanidae,Spirocamallanus
46,Glossocercus,Animalia,Platyhelminthes,Acentrosomata,Cyclophyllidea,Gryporhynchidae,Glossocercus
47,Baylisascaris,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Baylisascaris
48,Argulus,Animalia,Arthropoda,Branchiura,Arguloida,Argulidae,Argulus
49,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Himasthla
50,Gyrodactylus,Animalia,Platyhelminthes,Acentrosomata,Monopisthocotylea,Gyrodactylidae,Gyrodactylus
51,Parorchis,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Philophthalmidae ,Parorchis
52,Carcinonemertes,Animalia,Nemertea,Neonemertea,Monostilifera,Carcinonemertidae,Carcinonemertes
53,Aedes,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes
54,Culex,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex
55,Hysterolecitha,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Hemiuridae,Hysterolecitha
56,Mesostephanus,Animalia,Platyhelminthes,Acentrosomata,Diplostomida,Cyathocotylidae,Mesostephanus
57,Cloacitrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Philophthalmidae,Cloacitrema
58,Stictodora,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Stictodora
59,Phocitremoides,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Phocitremoides
60,Catatropis,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Notocotylidae,Catatropis
61,Austrobilharzia,Animalia,Platyhelminthes,Acentrosomata,Diplostomida,Schistosomatidae,Austrobilharzia
62,Euhaplorchis,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Euhaplorchis
63,Pygidiopsoides,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Pygidiopsoides
64,Parvatrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Gymnophallidae,Parvatrema
65,Apicomplexa,Protozoa,Apicomplexa,NA,NA,NA,NA
66,Plasmodium,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
67,Trichodina,Protozoa,Ciliophora,Oligohymenophorea,Mobilida,Trichodinidae,Trichodina
68,Henneguya,Animalia,Cnidaria,Myxozoa,Bivalvulida,Myxobolidae,Henneguya
69,Oxyura,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura
70,Upogebia,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia
71,Anas,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
72,Tagelus,Animalia,Mollusca,Bivalvia,Sphaeriida,Solecurtidae,Tagelus
73,Protothaca,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Protothaca
74,Macoma,Animalia,Mollusca,Bivalvia,Sphaeriida,Tellinidae,Macoma
75,Orthione,Animalia,Arthropoda,Malacostraca,Isopoda,Bopyridae,Orthione
76,Portunion,Animalia,Arthropoda,Malacostraca,Isopoda,Entoniscidae,Portunion
77,Picornavirus,Virus,NA,NA,NA,NA,NA
78,Saxidomus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus
79,Nuttallia,Animalia,Mollusca,Bivalvia,Sphaeriida,Psammobiidae,Nuttallia
80,Atherinops,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Atherinops
81,Cymatogaster,Animalia,Chordata,Teleostei,Perciformes,Embiotocidae,Cymatogaster
82,Capitella,Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella
83,Traskorchestia,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Traskorchestia
84,Trichocorixia,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,Trichocorixia
85,Acteocina,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Acteocina
86,Assiminea,Animalia,Mollusca,Gastropoda,Littorinida,Assimineidae,Assiminea
87,Probolocoryphe,Animalia,Platyhelminthes,Digenea,Plagiorchiida,Microphallidae,Probolocoryphe
88,Ephydra,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Ephydra
89,Uca,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca
90,Cryptomya,Animalia,Mollusca,Bivalvia,Myida,Myidae,Cryptomya
91,Melampus,Animalia,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Melampus
92,Cerithidea,Animalia,Mollusca,Gastropoda,Cerithiida,Potamididae,Cerithidea
93,Neotrypaea,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea
94,Catjartes,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Catjartes
95,Mytilus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus
96,Salicornia,Plantae,NA,Magnoliopsida,Caryophyllales,Amaranthaceae,Salicornia
97,Distichlis,Plantae,NA,Magnoliopsida,Poales,Poaceae,Distichlis
98,Frankenia,Plantae,NA,Magnoliopsida,Caryophyllales,Frankeniaceae,Frankenia
99,Jaumea,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Jaumea
100,Limonium,Plantae,NA,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium
101,Monanthocloe,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Monanthocloe
102,Cordylanthus,Plantae,NA,Magnoliopsida,Lamiales,Orobanchaceae,Cordylanthus
103,Cuscuta,Plantae,NA,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta
