"","Carpinteria.interaction.type","Carpinteria.con.taxonomy","Carpinteria.con.taxonomy.level","Carpinteria.con.common","Carpinteria.con.lifestage","Carpinteria.res.taxonomy","Carpinteria.res.taxonomy.level","Carpinteria.res.common","Carpinteria.res.lifestage","Carpinteria.con_taxon_id","Carpinteria.res_taxon_id"
"1","predacious","Limosa fedoa","species","Marbled Godwit","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",55,25
"2","predacious","Recurvirostra americana","species","American Avocet","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",85,25
"3","predacious","Recurvirostra americana","species","American Avocet","adults","Culex tarsalis","species","Western Encephalitis Mosquito","larvae",85,38
"4","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",26,25
"5","predacious","Limosa fedoa","species","Marbled Godwit","adults","Capitella capitata","species","Capitella capitata","adults",55,23
"6","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Culex tarsalis","species","Western Encephalitis Mosquito","larvae",26,38
"7","predacious","Recurvirostra americana","species","American Avocet","adults","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","larvae",85,7
"8","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",77,25
"9","predacious","Limosa fedoa","species","Marbled Godwit","adults","Polydora nuchalis","species","Polydora nuchalis","adults",55,95
"10","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","larvae",26,7
"11","predacious","Recurvirostra americana","species","American Avocet","adults","Capitella capitata","species","Capitella capitata","adults",85,23
"12","predacious","Limosa fedoa","species","Marbled Godwit","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",55,113
"13","predacious","Recurvirostra americana","species","American Avocet","adults","Polydora nuchalis","species","Polydora nuchalis","adults",85,95
"14","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Capitella capitata","species","Capitella capitata","adults",26,23
"15","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",98,25
"16","predacious","Recurvirostra americana","species","American Avocet","adults","Trichocorixia sp.","genus","Salt Marsh Water Boatman","adults",85,114
"17","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Polydora nuchalis","species","Polydora nuchalis","adults",26,95
"18","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Capitella capitata","species","Capitella capitata","adults",77,23
"19","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Culex tarsalis","species","Western Encephalitis Mosquito","larvae",98,38
"20","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",26,113
"21","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Polydora nuchalis","species","Polydora nuchalis","adults",77,95
"22","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","larvae",98,7
"23","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",77,113
"24","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","cercaria",80,100
"25","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Capitella capitata","species","Capitella capitata","adults",98,23
"26","predacious","Bucephala albeola","species","Bufflehead","adults","Acteocina inculta","species","Acteocina inculta","adults",18,4
"27","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",54,25
"28","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Assiminea californica","species","California Assiminea","adults",54,15
"29","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Polydora nuchalis","species","Polydora nuchalis","adults",98,95
"30","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Capitella capitata","species","Capitella capitata","adults",54,23
"31","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Renicola cerithidicola","species","Renicola cerithidicola","cercaria",80,103
"32","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Polydora nuchalis","species","Polydora nuchalis","adults",54,95
"33","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Maritrema sp.","genus","Maritrema sp.","cercaria",80,69
"34","predacious","Calidris alpina","species","Dunlin","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",20,25
"35","predacious","Charadrius vociferus","species","Killdeer","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",29,113
"36","predacious","Actitis macularia","species","Spotted Sandpiper","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",4,25
"37","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Probolocoryphe species A","genus","Probolocoryphe species A","cercaria",80,97
"38","predacious","Calidris alpina","species","Dunlin","adults","Capitella capitata","species","Capitella capitata","adults",20,23
"39","predacious","Calidris alpina","species","Dunlin","adults","Polydora nuchalis","species","Polydora nuchalis","adults",20,95
"40","predacious","Actitis macularia","species","Spotted Sandpiper","adults","Capitella capitata","species","Capitella capitata","adults",4,23
"41","predacious","Calidris alpina","species","Dunlin","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",20,113
"42","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Acteocina inculta","species","Acteocina inculta","adults",54,4
"43","predacious","Actitis macularia","species","Spotted Sandpiper","adults","Polydora nuchalis","species","Polydora nuchalis","adults",4,95
"44","predacious","Calidris mauri","species","Western Sandpiper","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",21,25
"45","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Phocitremoides ovale","species","Phocitremoides ovale","cercaria",80,89
"46","predacious","Calidris minutilla","species","Least Sandpiper","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",22,25
"47","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Austrobilharzia sp.","genus","Austrobilharzia sp.","cercaria",80,17
"48","predacious","Calidris mauri","species","Western Sandpiper","adults","Capitella capitata","species","Capitella capitata","adults",21,23
"49","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","cercaria",80,46
"50","predacious","Calidris mauri","species","Western Sandpiper","adults","Polydora nuchalis","species","Polydora nuchalis","adults",21,95
"51","predacious","Calidris minutilla","species","Least Sandpiper","adults","Capitella capitata","species","Capitella capitata","adults",22,23
