Web,AUC
carp_agg,0.3092531
carp_agg,0.2935174
carp_agg,0.4113445
carp_agg,0.3432141
carp_agg,0.277655
carp_agg,0.3963513
carp_agg,0.2497691
carp_agg,0.3620824
carp_agg,0.3712449
carp_agg,0.2530828
carp_agg_wo_parasites,0.2865458
carp_agg_wo_parasites,0.2086437
carp_agg_wo_parasites,0.2694376
carp_agg_wo_parasites,0.2739451
carp_agg_wo_parasites,0.2628469
carp_agg_wo_parasites,0.274488
carp_agg_wo_parasites,0.3480089
carp_agg_wo_parasites,0.1553117
carp_agg_wo_parasites,0.3029848
carp_agg_wo_parasites,0.2368375
carp_lifestage,0.270403
carp_lifestage,0.2333038
carp_lifestage,0.242537
carp_lifestage,0.2677033
carp_lifestage,0.2547069
carp_lifestage,0.2939585
carp_lifestage,0.3076658
carp_lifestage,0.2818253
carp_lifestage,0.3351961
carp_lifestage,0.3398198
carp_lifestage_wo_parasites,0.2658304
carp_lifestage_wo_parasites,0.1963639
carp_lifestage_wo_parasites,0.1859911
carp_lifestage_wo_parasites,0.2520176
carp_lifestage_wo_parasites,0.2384412
carp_lifestage_wo_parasites,0.276562
carp_lifestage_wo_parasites,0.2061939
carp_lifestage_wo_parasites,0.2205669
carp_lifestage_wo_parasites,0.2995921
carp_lifestage_wo_parasites,0.2633182
