Web,AUC
pb_with_parasites,0.3536992
pb_with_parasites,0.3781099
pb_with_parasites,0.3324447
pb_with_parasites,0.3728296
pb_with_parasites,0.3503367
pb_with_parasites,0.3776283
pb_with_parasites,0.3714622
pb_with_parasites,0.3489736
pb_with_parasites,0.3569844
pb_with_parasites,0.3772026
pb_without_parasites,0.2921362
pb_without_parasites,0.3304492
pb_without_parasites,0.2793356
pb_without_parasites,0.2732468
pb_without_parasites,0.3007709
pb_without_parasites,0.2946999
pb_without_parasites,0.2837597
pb_without_parasites,0.265529
pb_without_parasites,0.266891
pb_without_parasites,0.2934893
