Web,AUC
qp_agg,0.282688
qp_agg,0.171616
qp_agg,0.259008
qp_agg,0.228448
qp_agg,0.273024
qp_agg,0.25616
qp_agg,0.339456
qp_agg,0.322976
qp_agg,0.220416
qp_agg,0.234816
qp_agg_wo_parasites,0.2716343
qp_agg_wo_parasites,0.2355679
qp_agg_wo_parasites,0.2984488
qp_agg_wo_parasites,0.3200554
qp_agg_wo_parasites,0.226205
qp_agg_wo_parasites,0.36759
qp_agg_wo_parasites,0.2361219
qp_agg_wo_parasites,0.3298061
qp_agg_wo_parasites,0.2370637
qp_agg_wo_parasites,0.2044321
qp_lifestage,0.3497481
qp_lifestage,0.246637
qp_lifestage,0.3171852
qp_lifestage,0.3245728
qp_lifestage,0.3057679
qp_lifestage,0.2906667
qp_lifestage,0.2480395
qp_lifestage,0.2590321
qp_lifestage,0.3102025
qp_lifestage,0.3353481
qp_lifestage_wo_parasites,0.3236004
qp_lifestage_wo_parasites,0.2451335
qp_lifestage_wo_parasites,0.2982747
qp_lifestage_wo_parasites,0.2453347
qp_lifestage_wo_parasites,0.2669634
qp_lifestage_wo_parasites,0.2634676
qp_lifestage_wo_parasites,0.3089885
qp_lifestage_wo_parasites,0.3496806
qp_lifestage_wo_parasites,0.3287812
qp_lifestage_wo_parasites,0.2282078
