Web,AUC
ye_with_parasites,0.2683304
ye_with_parasites,0.2798861
ye_with_parasites,0.2863297
ye_with_parasites,0.288608
ye_with_parasites,0.2743966
ye_with_parasites,0.2851477
ye_with_parasites,0.2936347
ye_with_parasites,0.3256319
ye_with_parasites,0.2948523
ye_with_parasites,0.250089
ye_without_parasites,0.2289918
ye_without_parasites,0.2565245
ye_without_parasites,0.2470468
ye_without_parasites,0.153933
ye_without_parasites,0.2137755
ye_without_parasites,0.2994109
ye_without_parasites,0.230869
ye_without_parasites,0.2501755
ye_without_parasites,0.287247
ye_without_parasites,0.1891426
