"","NodeID","extinction_mean","extinction_sd","extinction_lower95","extinction_upper95","web"
"1","1",0.10021,0.300281297434036,0,1,"aggregated"
"2","2",0.10083,0.301104994549011,0,1,"aggregated"
"3","3",0.201230000000001,0.400921556518511,0,1,"aggregated"
"4","4",0.20214,0.401598099112004,0,1,"aggregated"
"5","5",0.196819999999998,0.397597118242492,0,1,"aggregated"
"6","6",0.494800000000001,0.499975459152108,0,1,"aggregated"
"7","7",0.48024,0.499611887889498,0,1,"aggregated"
"8","8",0.22087,0.414835104567776,0,1,"aggregated"
"9","9",0.517190000000001,0.499706915071224,0,1,"aggregated"
"10","10",0.570609999999999,0.494991593935522,0,1,"aggregated"
"11","11",0.636450000000002,0.481023607879428,0,1,"aggregated"
"12","12",0.5713,0.494892674413239,0,1,"aggregated"
"13","13",0.486169999999999,0.499811193564663,0,1,"aggregated"
"14","14",0.471560000000001,0.499193007099549,0,1,"aggregated"
"15","15",0.503509999999999,0.499990179705577,0,1,"aggregated"
"16","16",0.567940000000002,0.495365128229987,0,1,"aggregated"
"17","17",0.607790000000003,0.488245532224028,0,1,"aggregated"
"18","18",0.574239999999998,0.494460177677014,0,1,"aggregated"
"19","19",0.570209999999997,0.495048489170338,0,1,"aggregated"
"20","20",0.472449999999999,0.499242916759961,0,1,"aggregated"
"21","21",0.542539999999998,0.498189552608903,0,1,"aggregated"
"22","22",0.538149999999999,0.498544945787838,0,1,"aggregated"
"23","23",0.52279,0.499482843280141,0,1,"aggregated"
"24","24",0.560909999999996,0.4962785859018,0,1,"aggregated"
"25","25",0.467710000000002,0.498958761320424,0,1,"aggregated"
"26","26",0.500840000000001,0.500001794414792,0,1,"aggregated"
"27","27",0.560999999999999,0.496267531493197,0,1,"aggregated"
"28","28",0.561479999999998,0.496208294798768,0,1,"aggregated"
"29","29",0.514410000000001,0.499794807744373,0,1,"aggregated"
"30","30",0.540540000000001,0.498356290208406,0,1,"aggregated"
"31","31",0.452369999999999,0.49772870164233,0,1,"aggregated"
"32","32",0.548369999999998,0.497657331633687,0,1,"aggregated"
"33","33",0.532089999999996,0.498971664152673,0,1,"aggregated"
"34","34",0.530390000000001,0.499078088768608,0,1,"aggregated"
"35","35",0.542589999999999,0.498185280579077,0,1,"aggregated"
"36","36",0.634280000000001,0.481633887212705,0,1,"aggregated"
"37","37",0.628250000000003,0.483274531754861,0,1,"aggregated"
"38","38",0.619350000000001,0.485549106764021,0,1,"aggregated"
"39","39",0.62679,0.483659627388858,0,1,"aggregated"
"40","40",0.645159999999998,0.478467202333084,0,1,"aggregated"
"41","41",0.5066,0.499958937903295,0,1,"aggregated"
"42","42",0.525309999999998,0.499361489823652,0,1,"aggregated"
"43","43",0.50764,0.499944126719524,0,1,"aggregated"
"44","44",0.52859,0.499184438611009,0,1,"aggregated"
"45","45",0.569939999999999,0.495086707061469,0,1,"aggregated"
"46","46",0.565949999999999,0.495633992004935,0,1,"aggregated"
"47","47",0.656680000000002,0.474819578510037,0,1,"aggregated"
"48","48",0.643340000000001,0.479015593649426,0,1,"aggregated"
"49","49",0.568080000000001,0.495345906691307,0,1,"aggregated"
"50","50",0.624159999999998,0.484341450080636,0,1,"aggregated"
"51","51",0.62572,0.483938863461467,0,1,"aggregated"
"52","52",0.502710000000002,0.499995155828206,0,1,"aggregated"
"53","53",0.639879999999999,0.480037383917928,0,1,"aggregated"
"54","54",0.703979999999999,0.456502183502054,0,1,"aggregated"
"55","55",0.57696,0.494044126770555,0,1,"aggregated"
"56","56",0.61212,0.48726941204553,0,1,"aggregated"
"57","57",0.619600000000001,0.485487586846758,0,1,"aggregated"
"58","58",0.607710000000002,0.488263187133478,0,1,"aggregated"
"59","59",0.60709,0.488399546724833,0,1,"aggregated"
"60","60",0.57814,0.493858865837028,0,1,"aggregated"
"61","61",0.626370000000002,0.483769535450238,0,1,"aggregated"
"62","62",0.623770000000003,0.484441259528504,0,1,"aggregated"
"63","63",0.61645,0.486252775742567,0,1,"aggregated"
"110","1",0.10078,0.301038698248366,0,1,"aggregated_wo_parasites"
"210","2",0.100759999999999,0.301012173314145,0,1,"aggregated_wo_parasites"
"310","3",0.20018,0.400136937429513,0,1,"aggregated_wo_parasites"
"410","4",0.19987,0.39990446651126,0,1,"aggregated_wo_parasites"
"510","5",0.201360000000004,0.401018401769636,0,1,"aggregated_wo_parasites"
"64","6",0.222119999999999,0.415673469738451,0,1,"aggregated_wo_parasites"
"71","7",0.228320000000002,0.419751997633933,0,1,"aggregated_wo_parasites"
"81","8",0.201539999999999,0.401152387045975,0,1,"aggregated_wo_parasites"
"91","9",0.31818,0.465772108478912,0,1,"aggregated_wo_parasites"
"101","10",0.32775,0.469395505753618,0,1,"aggregated_wo_parasites"
"111","11",0.463949999999999,0.498701197641184,0,1,"aggregated_wo_parasites"
"121","12",0.36763,0.48216232526513,0,1,"aggregated_wo_parasites"
"131","13",0.335079999999999,0.472020785174018,0,1,"aggregated_wo_parasites"
"141","14",0.332930000000001,0.471264083076989,0,1,"aggregated_wo_parasites"
"151","15",0.33967,0.473599550322263,0,1,"aggregated_wo_parasites"
"161","16",0.354300000000001,0.478303039649601,0,1,"aggregated_wo_parasites"
"171","17",0.364470000000001,0.481283633047661,0,1,"aggregated_wo_parasites"
"181","18",0.329000000000003,0.469852325323865,0,1,"aggregated_wo_parasites"
"191","19",0.330400000000002,0.470359492707955,0,1,"aggregated_wo_parasites"
"201","20",0.302290000000001,0.459252506828793,0,1,"aggregated_wo_parasites"
"211","21",0.341580000000003,0.47424187146783,0,1,"aggregated_wo_parasites"
"221","22",0.32929,0.469957768850865,0,1,"aggregated_wo_parasites"
"231","23",0.31459,0.464354700797396,0,1,"aggregated_wo_parasites"
"241","24",0.34287,0.474670850404934,0,1,"aggregated_wo_parasites"
"251","25",0.30059,0.458516907297259,0,1,"aggregated_wo_parasites"
"261","26",0.31384,0.464054531134166,0,1,"aggregated_wo_parasites"
"271","27",0.351999999999999,0.477596357798866,0,1,"aggregated_wo_parasites"
"281","28",0.35145,0.477425572054682,0,1,"aggregated_wo_parasites"
"291","29",0.281690000000002,0.449825263105058,0,1,"aggregated_wo_parasites"
"301","30",0.296600000000001,0.456760907154992,0,1,"aggregated_wo_parasites"
"311","31",0.281579999999999,0.449771860555088,0,1,"aggregated_wo_parasites"
