,ID,Type,Name,Genus,kingdom,phylum,class,order,family,Key
1,1,2,Cryptocotyle lingua,Cryptocotyle,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Platyhelminthes
2,1,2,Cryptocotyle lingua,Cryptocotyle,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Platyhelminthes
3,2,2,Himasthla elongata,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
4,2,2,Himasthla elongata,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
5,2,2,Himasthla elongata,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
6,3,2,Renicola roscorita,Renicola,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Renicolidae,Platyhelminthes
7,4,2,Cercariae lebouri,Cercariae,Animalia,Platyhelminthes,NA,NA,NA,Platyhelminthes
8,5,2,Podocotyle staffordi,Podocotyle,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Opecoelidae,Platyhelminthes
9,6,2,Cryptocotyle jejuna,Cryptocotyle,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Platyhelminthes
10,6,2,Cryptocotyle jejuna,Cryptocotyle,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Platyhelminthes
11,7,2,Himasthla continua,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
12,7,2,Himasthla continua,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
13,7,2,Himasthla continua,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
14,8,2,Maritrema oocysta,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
15,8,2,Maritrema oocysta,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
16,8,2,Maritrema oocysta,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
17,8,2,Maritrema oocysta,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
18,9,2,Maritrema subdolum,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
19,9,2,Maritrema subdolum,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
20,9,2,Maritrema subdolum,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
21,9,2,Maritrema subdolum,Maritrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
22,10,2,Levinseniella sp.,Levinseniella,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
23,10,2,Levinseniella sp.,Levinseniella,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Microphallidae,Platyhelminthes
24,11,2,Microphallid ,Microphallid,Animalia,Platyhelminthes,NA,NA,NA,Platyhelminthes
25,12,2,Notocotyledae ,Notocotyledae,Animalia,Platyhelminthes,NA,NA,NA,Platyhelminthes
26,13,2,Himasthla interrupta,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
27,13,2,Himasthla interrupta,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
28,13,2,Himasthla interrupta,Himasthla,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Echinostomatidae,Platyhelminthes
29,14,2,Profilicollis botulus,Profilicollis,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Acanthocephala
30,15,2,Amidostomum sp.,Amidostomum,Animalia,Nematoda,NA,NA,NA,Nematoda
31,16,2,Haploparaksis crassirostris,Haploparaksis,Animalia,Platyhelminthes,NA,NA,NA,Platyhelminthes
32,17,2,Ophryocotyle insignis,Ophryocotyle,Animalia,Platyhelminthes,Acentrosomata,Cyclophyllidea,Davaineidae,Platyhelminthes
33,18,2,Psilostomum brevicolle,Psilostomum,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Psilostomatidae,Platyhelminthes
34,19,2,Catatropis terrucosa,Catatropis,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Notocotylidae,Platyhelminthes
35,20,2,Parvatrema affine,Parvatrema,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Gymnophallidae,Platyhelminthes
36,21,2,Apophallus lerouxi,Apophallus,Animalia,Platyhelminthes,Acentrosomata,Plagiorchiida,Heterophyidae,Platyhelminthes
