"","NodeID","extinction_mean","extinction_sd","extinction_lower95","extinction_upper95","web"
"43","43",0.486560000000001,0.499821832875108,0,1,"without_parasites"
"44","44",0.37681,0.484589075573725,0,1,"without_parasites"
"45","45",0.371079999999996,0.483096229978603,0,1,"without_parasites"
"46","46",0.296910000000001,0.45689882847849,0,1,"without_parasites"
"47","47",0.3115,0.463108944740727,0,1,"without_parasites"
"48","48",0.29699,0.456934380179653,0,1,"without_parasites"
"49","49",0.386129999999998,0.486863423826209,0,1,"without_parasites"
"50","50",0.32607,0.468775588747408,0,1,"without_parasites"
"51","51",0.335140000000001,0.47204174458837,0,1,"without_parasites"
"52","52",0.380900000000002,0.485610490182268,0,1,"without_parasites"
"53","53",0.351549999999998,0.477456675677624,0,1,"without_parasites"
"54","54",0.392140000000001,0.488230072902033,0,1,"without_parasites"
"55","55",0.376500000000001,0.484510162433492,0,1,"without_parasites"
"56","56",0.353500000000001,0.478058610842226,0,1,"without_parasites"
"57","57",0.424609999999999,0.4942861429257,0,1,"without_parasites"
"58","58",0.375130000000001,0.484158886315457,0,1,"without_parasites"
"59","59",0.32568,0.468630700815819,0,1,"without_parasites"
"60","60",0.393250000000002,0.488473974299577,0,1,"without_parasites"
"61","61",0.356109999999999,0.478850666574919,0,1,"without_parasites"
"62","62",0.3556,0.478697118760015,0,1,"without_parasites"
"63","63",0.358179999999999,0.47946781591049,0,1,"without_parasites"
"64","64",0.354670000000001,0.478415593302094,0,1,"without_parasites"
"65","65",0.370889999999998,0.483045485673449,0,1,"without_parasites"
"66","66",0.41828,0.49327910440554,0,1,"without_parasites"
"67","67",0.4223,0.493928283915116,0,1,"without_parasites"
"68","68",0.375659999999999,0.484295271316549,0,1,"without_parasites"
"69","69",0.37724,0.484698186218272,0,1,"without_parasites"
"70","70",0.361650000000001,0.480480578291825,0,1,"without_parasites"
"71","71",0.36155,0.480451772646327,0,1,"without_parasites"
"72","72",0.392199999999998,0.488243324394439,0,1,"without_parasites"
"73","73",0.372570000000001,0.483491398826555,0,1,"without_parasites"
"74","74",0.376889999999998,0.48460940597796,0,1,"without_parasites"
"75","75",0.44687,0.497171675477508,0,1,"without_parasites"
"76","76",0.375490000000001,0.484251592558997,0,1,"without_parasites"
"77","77",0.355249999999999,0.478591399836398,0,1,"without_parasites"
"78","78",0.35984,0.479955704179797,0,1,"without_parasites"
"79","79",0.359779999999999,0.479938178317601,0,1,"without_parasites"
"80","80",0.339520000000002,0.473548743092624,0,1,"without_parasites"
"81","81",0.373709999999999,0.483790426147093,0,1,"without_parasites"
"82","82",0.43271,0.495453843102421,0,1,"without_parasites"
"83","83",0.373370000000003,0.483701543073991,0,1,"without_parasites"
"84","84",0.361079999999999,0.48031608408988,0,1,"without_parasites"
"85","85",0.34704,0.476030991065731,0,1,"without_parasites"
"86","86",0.36903,0.482544492862741,0,1,"without_parasites"
"87","87",0.37227,0.483412229855315,0,1,"without_parasites"
"88","88",0.346150000000002,0.475744091738627,0,1,"without_parasites"
"89","89",0.34572,0.47560481873063,0,1,"without_parasites"
"90","90",0.346370000000002,0.475815181663107,0,1,"without_parasites"
"91","91",0.325660000000001,0.468623260709176,0,1,"without_parasites"
"92","92",0.197900000000001,0.398418344672713,0,1,"without_parasites"
"93","93",0.200709999999999,0.400533519410456,0,1,"without_parasites"
"94","94",0.200889999999999,0.400667958849109,0,1,"without_parasites"
"95","95",0.20099,0.400742593001999,0,1,"without_parasites"
"96","96",0.19818,0.398630501420399,0,1,"without_parasites"
"97","97",0.19996,0.399971996739575,0,1,"without_parasites"
"98","98",0.314319999999999,0.46424680165921,0,1,"without_parasites"
"99","99",0.20126,0.400943911239676,0,1,"without_parasites"
"101","101",0.2002,0.400151922669012,0,1,"without_parasites"
"102","102",0.200219999999999,0.400166906347029,0,1,"without_parasites"
"103","103",0.198979999999997,0.399234960249453,0,1,"without_parasites"
"104","104",0.20035,0.400264262225771,0,1,"without_parasites"
"105","105",0.197829999999999,0.398365257080131,0,1,"without_parasites"
"106","106",0.201010000000002,0.400757515170476,0,1,"without_parasites"
"107","107",0.201340000000001,0.401003506765217,0,1,"without_parasites"
"109","109",0.197639999999999,0.398221064485601,0,1,"without_parasites"
"112","112",0.159200000000001,0.365864317154767,0,1,"without_parasites"
"114","114",0.19818,0.398630501420399,0,1,"without_parasites"
"115","115",0.200129999999999,0.400099467502766,0,1,"without_parasites"
"116","116",0.288299999999999,0.452973687814034,0,1,"without_parasites"
"117","117",0.35959,0.479882626038692,0,1,"without_parasites"
"118","118",0.36244,0.480707350885698,0,1,"without_parasites"
"119","119",0.358690000000001,0.47961837354063,0,1,"without_parasites"
"120","120",0.430969999999999,0.495214409597651,0,1,"without_parasites"
"121","121",0.19898,0.399234960249446,0,1,"without_parasites"
"122","122",0.199429999999999,0.399573862624802,0,1,"without_parasites"
"123","123",0.198990000000002,0.399242500049624,0,1,"without_parasites"
"124","124",0.197939999999998,0.398448671742915,0,1,"without_parasites"
"127","127",0.159709999999999,0.366338720230734,0,1,"without_parasites"
"128","128",0.157779999999998,0.364536418575838,0,1,"without_parasites"
"129","129",0.20035,0.400264262225774,0,1,"without_parasites"
"131","131",0.200549999999999,0.400413911862568,0,1,"without_parasites"
"133","133",0.2009,0.400675424013183,0,1,"without_parasites"
"134","134",0,0,0,0,"without_parasites"
